Year,Race Name,Position,First Name,Last Name,Racer Number,Team,Laps Completed,Time
2023,netherlands,18,Nico,Hulkenberg,27,17,13,1:14.023
2023,netherlands,19,Robert,Shwartzman,39,8,25,1:14.803
2023,netherlands,20,Lance,Stroll,18,16,2,
2023,italy,1,Max,Verstappen,1,16,31,1:22.657
2023,italy,2,Carlos,Sainz,55,8,28,1:22.703
2023,italy,3,Sergio,Perez,11,16,30,1:22.834
2023,italy,4,Charles,Leclerc,16,8,22,1:22.966
2023,italy,5,George,Russell,63,16,28,1:23.189
2023,italy,6,Fernando,Alonso,14,16,24,1:23.214
2023,italy,7,Lando,Norris,4,16,22,1:23.241
2023,italy,8,Lewis,Hamilton,44,16,26,1:23.269
2023,italy,9,Yuki,Tsunoda,22,8,23,1:23.271
2023,italy,10,Alexander,Albon,23,16,18,1:23.444
2023,italy,11,Oscar,Piastri,81,16,24,1:23.446
2023,italy,12,Logan,Sargeant,2,16,21,1:23.661
2023,italy,13,Liam,Lawson,40,8,29,1:23.833
2023,italy,14,Pierre,Gasly,10,16,26,1:23.931
2023,italy,15,Valtteri,Bottas,77,14,17,1:23.952
2023,italy,16,Nico,Hulkenberg,27,17,23,1:24.067
2023,italy,17,Esteban,Ocon,31,16,26,1:24.090
2023,italy,18,Felipe,Drugovich,34,16,24,1:24.140
2023,italy,19,Kevin,Magnussen,20,17,24,1:24.217
2023,italy,20,Zhou,Guanyu,24,14,17,1:24.232
2023,singapore,1,Charles,Leclerc,16,8,25,1:33.350
2023,singapore,2,Carlos,Sainz,55,8,24,1:33.428
2023,singapore,3,Max,Verstappen,1,16,22,1:33.476
2023,singapore,4,Lando,Norris,4,16,24,1:33.522
2023,singapore,5,Lewis,Hamilton,44,16,21,1:33.540
2023,singapore,6,George,Russell,63,16,25,1:33.695
2023,singapore,7,Sergio,Perez,11,16,22,1:33.725
2023,singapore,8,Fernando,Alonso,14,16,28,1:33.974
2023,singapore,9,Yuki,Tsunoda,22,8,25,1:34.042
2023,singapore,10,Esteban,Ocon,31,16,24,1:34.066
2023,singapore,11,Lance,Stroll,18,16,25,1:34.568
2023,singapore,12,Pierre,Gasly,10,16,23,1:34.639
2023,singapore,13,Alexander,Albon,23,16,19,1:34.657
2023,singapore,14,Valtteri,Bottas,77,14,25,1:34.802
2023,singapore,15,Kevin,Magnussen,20,17,23,1:34.887
2023,singapore,16,Liam,Lawson,40,8,27,1:34.894
2023,singapore,17,Nico,Hulkenberg,27,17,22,1:34.985
2023,singapore,18,Zhou,Guanyu,24,14,25,1:35.456
2023,singapore,19,Oscar,Piastri,81,16,22,1:35.474
2023,singapore,20,Logan,Sargeant,2,16,24,1:35.778
2023,japan,1,Max,Verstappen,1,16,25,1:31.647
2023,japan,2,Carlos,Sainz,55,8,24,1:32.273
2023,japan,3,Lando,Norris,4,16,24,1:32.392
2023,japan,4,Charles,Leclerc,16,8,25,1:32.574
2023,japan,5,Yuki,Tsunoda,22,8,21,1:32.597
2023,japan,6,Fernando,Alonso,14,16,23,1:32.650
2023,japan,7,Oscar,Piastri,81,16,26,1:32.713
2023,japan,8,Alexander,Albon,23,16,24,1:32.991
2023,japan,9,Liam,Lawson,40,8,28,1:33.005
2023,japan,10,Lance,Stroll,18,16,17,1:33.040
2023,japan,11,Sergio,Perez,11,16,25,1:33.043
